sysbench 1.0:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 112
Report intermediate results every 10 second(s)
Initializing random number generator from current time


setting write concern to 0
Initializing worker threads...

Threads started!

[1600s] threads: 112, tps: 1128.60, reads: 15805.44, writes: 3387.19, response time: 155.14ms (95%), errors: 0.00, reconnects:  0.00
[1610s] threads: 112, tps: 1169.10, reads: 16375.86, writes: 3509.51, response time: 155.38ms (95%), errors: 0.00, reconnects:  0.00
[1620s] threads: 112, tps: 1113.50, reads: 15583.85, writes: 3338.29, response time: 161.88ms (95%), errors: 0.00, reconnects:  0.00
[1630s] threads: 112, tps: 1163.91, reads: 16294.57, writes: 3493.12, response time: 153.02ms (95%), errors: 0.00, reconnects:  0.00
[1640s] threads: 112, tps: 1141.80, reads: 15973.25, writes: 3422.99, response time: 152.75ms (95%), errors: 0.00, reconnects:  0.00
[1650s] threads: 112, tps: 1185.30, reads: 16600.15, writes: 3558.11, response time: 149.80ms (95%), errors: 0.00, reconnects:  0.00
[1660s] threads: 112, tps: 1124.80, reads: 15741.44, writes: 3371.99, response time: 159.05ms (95%), errors: 0.00, reconnects:  0.00
[1670s] threads: 112, tps: 1169.81, reads: 16384.48, writes: 3511.62, response time: 151.97ms (95%), errors: 0.00, reconnects:  0.00
[1680s] threads: 112, tps: 1142.80, reads: 15988.24, writes: 3426.39, response time: 151.74ms (95%), errors: 0.00, reconnects:  0.00
[1690s] threads: 112, tps: 1169.01, reads: 16367.59, writes: 3508.42, response time: 152.88ms (95%), errors: 0.00, reconnects:  0.00
[1700s] threads: 112, tps: 1111.99, reads: 15565.92, writes: 3335.58, response time: 163.63ms (95%), errors: 0.00, reconnects:  0.00
[1710s] threads: 112, tps: 1176.01, reads: 16469.97, writes: 3527.82, response time: 150.07ms (95%), errors: 0.00, reconnects:  0.00
[1720s] threads: 112, tps: 1161.80, reads: 16266.54, writes: 3485.19, response time: 150.70ms (95%), errors: 0.00, reconnects:  0.00
[1730s] threads: 112, tps: 1176.20, reads: 16470.25, writes: 3529.41, response time: 152.38ms (95%), errors: 0.00, reconnects:  0.00
[1740s] threads: 112, tps: 1122.60, reads: 15719.15, writes: 3367.79, response time: 162.03ms (95%), errors: 0.00, reconnects:  0.00
[1750s] threads: 112, tps: 1119.61, reads: 15662.38, writes: 3358.02, response time: 162.17ms (95%), errors: 0.00, reconnects:  0.00
[1760s] threads: 112, tps: 1141.20, reads: 15987.15, writes: 3424.59, response time: 158.81ms (95%), errors: 0.00, reconnects:  0.00
[1770s] threads: 112, tps: 1203.30, reads: 16829.70, writes: 3608.50, response time: 144.56ms (95%), errors: 0.00, reconnects:  0.00
